order_no,origin_airport,dest_airport,item_name,piece,weight_kg,width,lenght,height,size_cbm,chargeable_weight_kg,is_dg,cargo_ready_date,desired_arr_date,deadline_date,order_status
GLV-KD-20260810-001,ICN,ATL,변속기 서브 조립체 (Transmission Sub-Assy),3,750.96,120,100,160,5.76,960.0,N,2026-08-10,2026-08-13,2026-08-20,PENDING
GLV-KD-20260810-001,ICN,ATL,변속기 서브 조립체 (Transmission Sub-Assy),2,500.64,100,100,100,2.0,500.64,N,2026-08-10,2026-08-13,2026-08-20,PENDING
GLV-KD-20260810-002,ICN,ATL,에어백 인플레이터 모듈 (Airbag Module),1,110.8,120,100,117,1.4,234.0,Y,2026-08-10,2026-08-14,2026-08-21,PENDING
GLV-KD-20260810-002,ICN,ATL,에어백 인플레이터 모듈 (Airbag Module),1,110.8,100,100,100,1.0,166.67,Y,2026-08-10,2026-08-14,2026-08-21,PENDING
GLV-KD-20260810-003,ICN,ATL,차체 프레스 금형 부품 (Body Press Parts),5,1141.33,120,100,160,9.6,1600.0,N,2026-08-10,2026-08-13,2026-08-20,PENDING
GLV-KD-20260810-003,ICN,ATL,차체 프레스 금형 부품 (Body Press Parts),4,913.07,100,100,110,4.4,913.07,N,2026-08-10,2026-08-13,2026-08-20,PENDING
GLV-KD-20260810-004,ICN,ATL,차체 프레스 금형 부품 (Body Press Parts),5,1216.28,120,100,160,9.6,1600.0,N,2026-08-10,2026-08-13,2026-08-20,PENDING
GLV-KD-20260810-004,ICN,ATL,차체 프레스 금형 부품 (Body Press Parts),4,973.02,100,100,110,4.4,973.02,N,2026-08-10,2026-08-13,2026-08-20,PENDING
GLV-KD-20260811-005,ICN,ATL,에어백 인플레이터 모듈 (Airbag Module),1,103.65,120,100,134,1.61,268.0,Y,2026-08-11,2026-08-14,2026-08-21,PENDING
GLV-KD-20260811-005,ICN,ATL,ECU/전장 제어 모듈 (ECU Control Unit),1,103.65,100,100,100,1.0,166.67,N,2026-08-11,2026-08-14,2026-08-21,PENDING
GLV-KD-20260811-006,ICN,DFW,ECU/전장 제어 모듈 (ECU Control Unit),2,96.0,120,100,80,1.92,320.0,N,2026-08-11,2026-08-15,2026-08-22,PENDING
GLV-KD-20260811-006,ICN,DFW,ECU/전장 제어 모듈 (ECU Control Unit),1,48.0,100,100,80,0.8,133.33,N,2026-08-11,2026-08-15,2026-08-22,PENDING
GLV-KD-20260811-007,ICN,ATL,변속기 서브 조립체 (Transmission Sub-Assy),3,535.15,120,100,146,5.26,876.0,N,2026-08-11,2026-08-14,2026-08-21,PENDING
GLV-KD-20260811-007,ICN,ATL,변속기 서브 조립체 (Transmission Sub-Assy),3,535.15,100,100,110,3.3,550.0,N,2026-08-11,2026-08-14,2026-08-21,PENDING
GLV-KD-20260812-008,ICN,ATL,엔진 실린더 블록 (Engine Block),2,421.7,120,100,143,3.43,572.0,N,2026-08-12,2026-08-15,2026-08-22,PENDING
GLV-KD-20260812-008,ICN,ATL,엔진 실린더 블록 (Engine Block),2,421.7,100,100,110,2.2,421.7,N,2026-08-12,2026-08-15,2026-08-22,PENDING
GLV-KD-20260812-009,ICN,DFW,ECU/전장 제어 모듈 (ECU Control Unit),2,96.93,120,100,80,1.92,320.0,N,2026-08-12,2026-08-15,2026-08-22,PENDING
GLV-KD-20260812-009,ICN,DFW,ECU/전장 제어 모듈 (ECU Control Unit),1,48.47,100,100,80,0.8,133.33,N,2026-08-12,2026-08-15,2026-08-22,PENDING
GLV-KD-20260812-010,ICN,ATL,차체 프레스 금형 부품 (Body Press Parts),5,1005.4,120,100,160,9.6,1600.0,N,2026-08-12,2026-08-16,2026-08-23,PENDING
GLV-KD-20260812-010,ICN,ATL,차체 프레스 금형 부품 (Body Press Parts),5,1005.4,100,100,110,5.5,1005.4,N,2026-08-12,2026-08-16,2026-08-23,PENDING
GLV-KD-20260812-011,ICN,ATL,엔진 실린더 블록 (Engine Block),2,463.85,120,100,156,3.74,624.0,N,2026-08-12,2026-08-15,2026-08-22,PENDING
GLV-KD-20260812-011,ICN,ATL,엔진 실린더 블록 (Engine Block),2,463.85,100,100,110,2.2,463.85,N,2026-08-12,2026-08-15,2026-08-22,PENDING
GLV-KD-20260813-012,ICN,DFW,ECU/전장 제어 모듈 (ECU Control Unit),2,95.27,120,100,80,1.92,320.0,N,2026-08-13,2026-08-16,2026-08-23,PENDING
GLV-KD-20260813-012,ICN,DFW,ECU/전장 제어 모듈 (ECU Control Unit),1,47.63,100,100,80,0.8,133.33,N,2026-08-13,2026-08-16,2026-08-23,PENDING
GLV-KD-20260813-013,ICN,ATL,차체 프레스 금형 부품 (Body Press Parts),6,1147.25,120,100,145,10.44,1740.0,N,2026-08-13,2026-08-16,2026-08-23,PENDING
GLV-KD-20260813-013,ICN,ATL,차체 프레스 금형 부품 (Body Press Parts),5,956.05,100,100,110,5.5,956.05,N,2026-08-13,2026-08-16,2026-08-23,PENDING
GLV-KD-20260813-014,ICN,DFW,ECU/전장 제어 모듈 (ECU Control Unit),2,91.2,120,100,80,1.92,320.0,N,2026-08-13,2026-08-16,2026-08-23,PENDING
GLV-KD-20260813-014,ICN,DFW,ECU/전장 제어 모듈 (ECU Control Unit),1,45.6,100,100,80,0.8,133.33,N,2026-08-13,2026-08-16,2026-08-23,PENDING
GLV-KD-20260814-015,ICN,DFW,에어백 인플레이터 모듈 (Airbag Module),2,90.87,120,100,80,1.92,320.0,Y,2026-08-14,2026-08-18,2026-08-25,PENDING
GLV-KD-20260814-015,ICN,DFW,ECU/전장 제어 모듈 (ECU Control Unit),1,45.43,100,100,80,0.8,133.33,N,2026-08-14,2026-08-18,2026-08-25,PENDING
GLV-KD-20260814-016,ICN,ATL,와이어링 하네스 (Wiring Harness),4,220.35,120,100,80,3.84,640.0,N,2026-08-14,2026-08-17,2026-08-24,PENDING
GLV-KD-20260814-016,ICN,ATL,와이어링 하네스 (Wiring Harness),4,220.35,100,100,80,3.2,533.33,N,2026-08-14,2026-08-17,2026-08-24,PENDING
GLV-KD-20260814-017,ICN,DFW,조향장치 랙앤피니언 (Steering Gear Assy),3,376.38,120,100,132,4.75,792.0,N,2026-08-14,2026-08-18,2026-08-25,PENDING
GLV-KD-20260814-017,ICN,DFW,조향장치 랙앤피니언 (Steering Gear Assy),2,250.92,100,100,110,2.2,366.67,N,2026-08-14,2026-08-18,2026-08-25,PENDING
GLV-KD-20260814-018,ICN,DFW,ECU/전장 제어 모듈 (ECU Control Unit),2,105.2,120,100,80,1.92,320.0,N,2026-08-14,2026-08-18,2026-08-25,PENDING
GLV-KD-20260814-018,ICN,DFW,ECU/전장 제어 모듈 (ECU Control Unit),1,52.6,100,100,80,0.8,133.33,N,2026-08-14,2026-08-18,2026-08-25,PENDING
GLV-KD-20260815-001,ICN,DFW,ECU/전장 제어 모듈 (ECU Control Unit),2,96.0,120,100,80,1.92,320.0,N,2026-08-15,2026-08-19,2026-08-26,PENDING
GLV-KD-20260815-001,ICN,DFW,ECU/전장 제어 모듈 (ECU Control Unit),1,48.0,100,100,80,0.8,133.33,N,2026-08-15,2026-08-19,2026-08-26,PENDING
GLV-KD-20260815-002,ICN,ATL,차체 프레스 금형 부품 (Body Press Parts),6,1147.25,120,100,145,10.44,1740.0,N,2026-08-15,2026-08-18,2026-08-25,PENDING
GLV-KD-20260815-002,ICN,ATL,차체 프레스 금형 부품 (Body Press Parts),5,956.05,100,100,110,5.5,956.05,N,2026-08-15,2026-08-18,2026-08-25,PENDING
GLV-KD-20260815-003,ICN,ATL,차체 프레스 금형 부품 (Body Press Parts),5,1141.33,120,100,160,9.6,1600.0,N,2026-08-15,2026-08-19,2026-08-26,PENDING
GLV-KD-20260815-003,ICN,ATL,차체 프레스 금형 부품 (Body Press Parts),4,913.07,100,100,110,4.4,913.07,N,2026-08-15,2026-08-19,2026-08-26,PENDING
GLV-KD-20260816-001,ICN,ATL,에어백 인플레이터 모듈 (Airbag Module),1,110.8,120,100,117,1.4,234.0,Y,2026-08-16,2026-08-19,2026-08-26,PENDING
GLV-KD-20260816-001,ICN,ATL,변속기 서브 조립체 (Transmission Sub-Assy),3,535.15,120,100,146,5.26,876.0,N,2026-08-16,2026-08-19,2026-08-26,PENDING
GLV-KD-20260816-002,ICN,DFW,조향장치 랙앤피니언 (Steering Gear Assy),3,376.38,120,100,132,4.75,792.0,N,2026-08-16,2026-08-20,2026-08-27,PENDING
GLV-KD-20260816-002,ICN,DFW,조향장치 랙앤피니언 (Steering Gear Assy),2,250.92,100,100,110,2.2,366.67,N,2026-08-16,2026-08-20,2026-08-27,PENDING
GLV-KD-20260816-003,ICN,ATL,변속기 서브 조립체 (Transmission Sub-Assy),3,750.96,120,100,160,5.76,960.0,N,2026-08-16,2026-08-20,2026-08-27,PENDING
GLV-KD-20260816-003,ICN,ATL,변속기 서브 조립체 (Transmission Sub-Assy),2,500.64,100,100,100,2.0,500.64,N,2026-08-16,2026-08-20,2026-08-27,PENDING
GLV-KD-20260816-004,ICN,ATL,변속기 서브 조립체 (Transmission Sub-Assy),3,535.15,120,100,146,5.26,876.0,N,2026-08-16,2026-08-20,2026-08-27,PENDING
GLV-KD-20260816-004,ICN,ATL,변속기 서브 조립체 (Transmission Sub-Assy),3,535.15,100,100,110,3.3,550.0,N,2026-08-16,2026-08-20,2026-08-27,PENDING
GLV-KD-20260817-001,ICN,ATL,변속기 서브 조립체 (Transmission Sub-Assy),3,535.15,120,100,146,5.26,876.0,N,2026-08-17,2026-08-21,2026-08-28,PENDING
GLV-KD-20260817-001,ICN,ATL,변속기 서브 조립체 (Transmission Sub-Assy),3,535.15,100,100,110,3.3,550.0,N,2026-08-17,2026-08-21,2026-08-28,PENDING
GLV-KD-20260817-002,ICN,ATL,변속기 서브 조립체 (Transmission Sub-Assy),3,750.96,120,100,160,5.76,960.0,N,2026-08-17,2026-08-21,2026-08-28,PENDING
GLV-KD-20260817-002,ICN,ATL,변속기 서브 조립체 (Transmission Sub-Assy),2,500.64,100,100,100,2.0,500.64,N,2026-08-17,2026-08-21,2026-08-28,PENDING
GLV-KD-20260817-003,ICN,ATL,차체 프레스 금형 부품 (Body Press Parts),5,1216.28,120,100,160,9.6,1600.0,N,2026-08-17,2026-08-21,2026-08-28,PENDING
GLV-KD-20260817-003,ICN,ATL,차체 프레스 금형 부품 (Body Press Parts),4,973.02,100,100,110,4.4,973.02,N,2026-08-17,2026-08-21,2026-08-28,PENDING
GLV-KD-20260818-001,ICN,ATL,변속기 서브 조립체 (Transmission Sub-Assy),3,750.96,120,100,160,5.76,960.0,N,2026-08-18,2026-08-22,2026-08-29,PENDING
GLV-KD-20260818-001,ICN,ATL,변속기 서브 조립체 (Transmission Sub-Assy),2,500.64,100,100,100,2.0,500.64,N,2026-08-18,2026-08-22,2026-08-29,PENDING
GLV-KD-20260818-002,ICN,ATL,변속기 서브 조립체 (Transmission Sub-Assy),3,535.15,120,100,146,5.26,876.0,N,2026-08-18,2026-08-22,2026-08-29,PENDING
GLV-KD-20260818-002,ICN,ATL,변속기 서브 조립체 (Transmission Sub-Assy),3,535.15,100,100,110,3.3,550.0,N,2026-08-18,2026-08-22,2026-08-29,PENDING
GLV-KD-20260818-003,ICN,DFW,ECU/전장 제어 모듈 (ECU Control Unit),2,95.27,120,100,80,1.92,320.0,N,2026-08-18,2026-08-21,2026-08-28,PENDING
GLV-KD-20260818-003,ICN,DFW,ECU/전장 제어 모듈 (ECU Control Unit),1,47.63,100,100,80,0.8,133.33,N,2026-08-18,2026-08-21,2026-08-28,PENDING
GLV-KD-20260818-004,ICN,DFW,조향장치 랙앤피니언 (Steering Gear Assy),3,376.38,120,100,132,4.75,792.0,N,2026-08-18,2026-08-21,2026-08-28,PENDING
GLV-KD-20260818-004,ICN,DFW,조향장치 랙앤피니언 (Steering Gear Assy),2,250.92,100,100,110,2.2,366.67,N,2026-08-18,2026-08-21,2026-08-28,PENDING
GLV-KD-20260819-001,ICN,ATL,에어백 인플레이터 모듈 (Airbag Module),1,103.65,120,100,134,1.61,268.0,Y,2026-08-19,2026-08-23,2026-08-30,PENDING
GLV-KD-20260819-001,ICN,ATL,엔진 실린더 블록 (Engine Block),2,463.85,120,100,156,3.74,624.0,N,2026-08-19,2026-08-23,2026-08-30,PENDING
