CARRIER_CD,CARRIER_NM,FLIGHT_TYPE,TARIFF_ID,DPRT_AIRPORT,ARRV_AIRPORT,ARRV_REGION,SERVICE_LEVEL,MIN,N,45,100,300,500,1000,EFFECTIVE_START_DATE,EFFECTIVE_END_DATE
KE,Korean Air Cargo,CARGO,1,ICN,ATL,USA,Standard,120700,7800,6670,5820,4960,4470,3900,2026-08-01,2026-08-31
KE,Korean Air Cargo,CARGO,2,ICN,ATL,USA,Express Priority,113600,7520,6460,5600,4820,4250,3830,2026-08-01,2026-08-31
KE,Korean Air Cargo,CARGO,3,ICN,DFW,USA,Standard,113600,7520,6380,5530,4680,4110,3690,2026-08-01,2026-08-31
KE,Korean Air Cargo,CARGO,4,ICN,DFW,USA,Heavy Special,120700,7730,6600,5740,4890,4320,3760,2026-08-01,2026-08-31
DL,Delta Air Lines,PASSENGER,5,ICN,ATL,USA,Standard,113600,7520,6530,5670,4890,4320,3970,2026-08-01,2026-08-31
DL,Delta Air Lines,PASSENGER,6,ICN,DFW,USA,Standard,113600,7450,6460,5600,4820,4250,3900,2026-08-01,2026-08-31
AA,American Airlines,PASSENGER,7,ICN,DFW,USA,Standard,113600,7380,6240,5390,4610,4180,3620,2026-08-01,2026-08-31
AA,American Airlines,PASSENGER,8,ICN,ATL,USA,Standard,113600,7520,6380,5530,4750,4320,3760,2026-08-01,2026-08-31
5Y,Atlas Air,CARGO,9,ICN,ATL,USA,Charter B2B,142000,7240,6240,5390,4540,3970,3540,2026-08-01,2026-08-31
5Y,Atlas Air,CARGO,10,ICN,DFW,USA,Charter B2B,142000,7090,6100,5250,4470,3900,3470,2026-08-01,2026-08-31
ZET,Air Zetta,CARGO,11,ICN,ATL,USA,Forwarder Rel.,127800,7380,6380,5530,4680,4110,3690,2026-08-01,2026-08-31
ZET,Air Zetta,CARGO,12,ICN,DFW,USA,Forwarder Rel.,127800,7310,6310,5460,4610,4040,3620,2026-08-01,2026-08-31
MH,Malaysia Airlines,PASSENGER,13,ICN,ATL,USA,Standard,106500,7090,6030,5250,4470,3900,3470,2026-08-01,2026-08-31
MH,Malaysia Airlines,PASSENGER,14,ICN,DFW,USA,Standard,106500,7090,6030,5250,4470,3900,3470,2026-08-01,2026-08-31
CV,Cargolux Italia,CARGO,15,ICN,ATL,USA,Standard,134900,7950,6810,5960,5110,4540,4040,2026-08-01,2026-08-31
CV,Cargolux Italia,CARGO,16,ICN,DFW,USA,Select Plus,134900,7880,6740,5890,5040,4470,3970,2026-08-01,2026-08-31
