CARRIER_CD,CARRIER_NM,ARRV_REGION,FUEL_SURCHARGE_KG,SEC_SURCHARGE_KG,SUR_EFFECTIVE_START_DATE,SUR_EFFECTIVE_END_DATE
KE,Korean Air Cargo,USA,1890,450,2026-08-01,2026-08-31
KE,Korean Air Cargo,EUR,1780,450,2026-08-01,2026-10-31
KE,Korean Air Cargo,JPN/CHN,560,250,2026-06-01,2026-12-31
KE,Korean Air Cargo,MEA,1260,350,2026-06-01,2026-12-31
KE,Korean Air Cargo,SEA,950,350,2026-06-01,2026-12-31
DL,Delta Air Lines,USA,1900,550,2026-08-01,2026-08-31
DL,Delta Air Lines,EUR,1700,500,2026-08-01,2026-10-31
DL,Delta Air Lines,JPN/CHN,560,350,2026-06-01,2026-12-31
DL,Delta Air Lines,MEA,1260,300,2026-06-01,2026-12-31
DL,Delta Air Lines,SEA,890,300,2026-06-01,2026-12-31
AA,American Airlines,USA,1890,550,2026-08-01,2026-08-31
AA,American Airlines,EUR,1760,500,2026-08-01,2026-10-31
AA,American Airlines,JPN/CHN,650,350,2026-06-01,2026-12-31
AA,American Airlines,MEA,1260,350,2026-06-01,2026-12-31
AA,American Airlines,SEA,980,250,2026-06-01,2026-12-31
5Y,Atlas Air,USA,1810,550,2026-08-01,2026-08-31
5Y,Atlas Air,EUR,1780,450,2026-08-01,2026-10-31
5Y,Atlas Air,JPN/CHN,680,350,2026-06-01,2026-12-31
5Y,Atlas Air,MEA,1290,350,2026-06-01,2026-12-31
5Y,Atlas Air,SEA,950,250,2026-06-01,2026-12-31
ZET,Air Zetta,USA,1840,450,2026-08-01,2026-08-31
ZET,Air Zetta,EUR,1710,550,2026-08-01,2026-10-31
ZET,Air Zetta,JPN/CHN,590,300,2026-06-01,2026-12-31
ZET,Air Zetta,MEA,1290,250,2026-06-01,2026-12-31
ZET,Air Zetta,SEA,980,300,2026-06-01,2026-12-31
MH,Malaysia Airlines,USA,1840,500,2026-08-01,2026-08-31
MH,Malaysia Airlines,EUR,1730,500,2026-08-01,2026-10-31
MH,Malaysia Airlines,JPN/CHN,590,250,2026-06-01,2026-12-31
MH,Malaysia Airlines,MEA,1290,300,2026-06-01,2026-12-31
MH,Malaysia Airlines,SEA,980,250,2026-06-01,2026-12-31
CV,Cargolux Italia,USA,1810,500,2026-08-01,2026-08-31
CV,Cargolux Italia,EUR,1710,550,2026-08-01,2026-10-31
CV,Cargolux Italia,JPN/CHN,680,350,2026-06-01,2026-12-31
CV,Cargolux Italia,MEA,1200,250,2026-06-01,2026-12-31
CV,Cargolux Italia,SEA,890,350,2026-06-01,2026-12-31
